# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.1 Build 166 11/26/2013 SJ Full Version
# File: E:\System_Design\test_run_library\testi\TUNI.fi\product\Kvazaar.IP-acc.Camera\1.0\cyclone_v_pins.csv
# Generated on: Fri Mar 11 14:20:25 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Fitter Location,Direction,Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,I/O Bank,VREF Group,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
usb_data[1],PIN_G16,Bidir,PIN_G16,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_data[0],PIN_E16,Bidir,PIN_E16,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_dir,PIN_E14,Input,PIN_E14,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_nxt,PIN_A14,Input,PIN_A14,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
usb_stp,PIN_C15,Output,PIN_C15,3.3-V LVCMOS,,,,,7D,B7A7B7C7D_N0,,,,,,,,
user_dipsw_fpga[3],PIN_AG11,Input,PIN_AG11,1.5 V,,,,,3B,B3B_N0,,,,,,,,
user_dipsw_fpga[2],PIN_AF11,Input,PIN_AF11,1.5 V,,,,,3B,B3B_N0,,,,,,,,
user_dipsw_fpga[1],PIN_AH9,Input,PIN_AH9,1.5 V,,,,,3B,B3B_N0,,,,,,,,
user_dipsw_fpga[0],PIN_AG10,Input,PIN_AG10,1.5 V,,,,,3B,B3B_N0,,,,,,,,
user_led_fpga[0],PIN_AK2,Bidir,PIN_AK2,1.5 V,,,,,3B,B3B_N0,,,,,,,,
user_led_hps[3],PIN_C18,Bidir,PIN_C18,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
user_led_hps[2],PIN_G17,Bidir,PIN_G17,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
user_led_hps[1],PIN_E18,Bidir,PIN_E18,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
user_led_hps[0],PIN_E17,Bidir,PIN_E17,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
user_pb_fpga[1],PIN_AB13,Input,PIN_AB13,1.5 V,,,,,3B,B3B_N0,,,,,,,,
user_pb_fpga[0],PIN_AA13,Input,PIN_AA13,1.5 V,,,,,3B,B3B_N0,,,,,,,,
clk_osc1,,Unknown,PIN_D25,3.3-V LVCMOS,,,,,7A,,,,,,,,,
clk_osc2,,Unknown,PIN_F25,3.3-V LVCMOS,,,,,7A,,,,,,,,,
mictor_rstn,,Unknown,PIN_C27,3.3-V LVCMOS,,,,,7A,,,,,,,,,
hps_resetn,,Unknown,PIN_F23,3.3-V LVCMOS,,,,,7A,,,,,,,,,
user_dipsw_hps[0],,Unknown,PIN_N30,,,,,,6B,B6B_N0,,,,,,,,
user_dipsw_hps[1],,Unknown,PIN_P29,,,,,,6B,B6B_N0,,,,,,,,
user_dipsw_hps[2],,Unknown,PIN_P22,,,,,,6B,B6B_N0,,,,,,,,
user_dipsw_hps[3],,Unknown,PIN_V20,,,,,,6B,B6B_N0,,,,,,,,
user_pb_hps[0],,Unknown,PIN_T30,,,,,,6B,B6B_N0,,,,,,,,
user_pb_hps[1],,Unknown,PIN_U28,,,,,,6B,B6B_N0,,,,,,,,
user_pb_hps[2],,Unknown,PIN_T21,,,,,,6B,B6B_N0,,,,,,,,
user_pb_hps[3],,Unknown,PIN_U20,,,,,,6B,B6B_N0,,,,,,,,
sd_pwren,,Unknown,PIN_B17,3.3-V LVCMOS,,,,,7C,B7A7B7C7D_N0,,,,,,,,
clk_100m_fpga,,Unknown,PIN_AB27,2.5 V,,,,,5B,B5B_N0,,,,,,,,
clk_bot1,,Unknown,PIN_AF14,1.5 V,,,,,3B,B3B_N0,,,,,,,,
clk_enet_fpga_p,,Unknown,PIN_Y26,LVDS,,,,clk_enet_fpga_n,5B,B5B_N0,,,,,,,,
clk_top1,,Unknown,PIN_AA26,2.5 V,,,,,5B,B5B_N0,,,,,,,,
ddr3_fpga_a[0],,Unknown,PIN_AJ14,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[1],,Unknown,PIN_AK14,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[2],,Unknown,PIN_AH12,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[3],,Unknown,PIN_AJ12,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[4],,Unknown,PIN_AG15,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[5],,Unknown,PIN_AH15,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[6],,Unknown,PIN_AK12,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[7],,Unknown,PIN_AK13,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[8],,Unknown,PIN_AH13,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[9],,Unknown,PIN_AH14,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[10],,Unknown,PIN_AJ9,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[11],,Unknown,PIN_AK9,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[12],,Unknown,PIN_AK7,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[13],,Unknown,PIN_AK8,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_a[14],,Unknown,PIN_AG12,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_ba[0],,Unknown,PIN_AH10,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_ba[1],,Unknown,PIN_AJ11,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_ba[2],,Unknown,PIN_AK11,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_casn,,Unknown,PIN_AH7,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_cke,,Unknown,PIN_AJ21,SSTL-15 Class I,,Maximum Current,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_clk_n,,Unknown,PIN_AA15,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_clk_p,3B,B3B_N0,,,,,,,,
ddr3_fpga_clk_p,,Unknown,PIN_AA14,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_clk_n,3B,B3B_N0,,,,,,,,
ddr3_fpga_csn,,Unknown,PIN_AB15,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_dm[0],,Unknown,PIN_AH17,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dm[1],,Unknown,PIN_AG23,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dm[2],,Unknown,PIN_AK23,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dm[3],,Unknown,PIN_AJ27,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[0],,Unknown,PIN_AF18,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[1],,Unknown,PIN_AE17,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[2],,Unknown,PIN_AG16,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[3],,Unknown,PIN_AF16,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[4],,Unknown,PIN_AH20,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[5],,Unknown,PIN_AG21,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[6],,Unknown,PIN_AJ16,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[7],,Unknown,PIN_AH18,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[8],,Unknown,PIN_AK18,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[9],,Unknown,PIN_AJ17,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[10],,Unknown,PIN_AG18,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[11],,Unknown,PIN_AK19,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[12],,Unknown,PIN_AG20,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[13],,Unknown,PIN_AF19,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[14],,Unknown,PIN_AJ20,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[15],,Unknown,PIN_AH24,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[16],,Unknown,PIN_AE19,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[17],,Unknown,PIN_AE18,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[18],,Unknown,PIN_AG22,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[19],,Unknown,PIN_AK22,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[20],,Unknown,PIN_AF21,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[21],,Unknown,PIN_AF20,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[22],,Unknown,PIN_AH23,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[23],,Unknown,PIN_AK24,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[24],,Unknown,PIN_AF24,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[25],,Unknown,PIN_AF23,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[26],,Unknown,PIN_AJ24,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[27],,Unknown,PIN_AK26,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[28],,Unknown,PIN_AE23,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[29],,Unknown,PIN_AE22,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[30],,Unknown,PIN_AG25,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dq[31],,Unknown,PIN_AK27,SSTL-15 Class I,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_dqs_n[0],,Unknown,PIN_W16,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_dqs_p[0],4A,B4A_N0,,,,,,,,
ddr3_fpga_dqs_n[1],,Unknown,PIN_W17,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_dqs_p[1],4A,B4A_N0,,,,,,,,
ddr3_fpga_dqs_n[2],,Unknown,PIN_AA18,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_dqs_p[2],4A,B4A_N0,,,,,,,,
ddr3_fpga_dqs_n[3],,Unknown,PIN_AD19,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_dqs_p[3],4A,B4A_N0,,,,,,,,
ddr3_fpga_dqs_p[0],,Unknown,PIN_V16,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_dqs_n[0],4A,B4A_N0,,,,,,,,
ddr3_fpga_dqs_p[1],,Unknown,PIN_V17,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_dqs_n[1],4A,B4A_N0,,,,,,,,
ddr3_fpga_dqs_p[2],,Unknown,PIN_Y17,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_dqs_n[2],4A,B4A_N0,,,,,,,,
ddr3_fpga_dqs_p[3],,Unknown,PIN_AC20,Differential 1.5-V SSTL Class I,,,,ddr3_fpga_dqs_n[3],4A,B4A_N0,,,,,,,,
ddr3_fpga_odt,,Unknown,PIN_AE16,SSTL-15 Class I,,Maximum Current,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_rasn,,Unknown,PIN_AH8,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
ddr3_fpga_resetn,,Unknown,PIN_AK21,1.5 V,,Maximum Current,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_wen,,Unknown,PIN_AJ6,SSTL-15 Class I,,Maximum Current,,,3B,B3B_N0,,,,,,,,
enet1_tx_en,,Unknown,PIN_AB22,,,,,,5A,B5A_N0,,,,,,,,
enet1_tx_d[3],,Unknown,PIN_AB26,,,,,,5A,B5A_N0,,,,,,,,
enet1_tx_d[2],,Unknown,PIN_AA25,,,,,,5A,B5A_N0,,,,,,,,
enet1_tx_d[1],,Unknown,PIN_Y21,,,,,,5A,B5A_N0,,,,,,,,
enet1_tx_d[0],,Unknown,PIN_W20,,,,,,5A,B5A_N0,,,,,,,,
enet1_tx_clk_fb,,Unknown,PIN_W25,,,,,,5B,B5B_N0,,,,,,,,
enet1_rx_error,,Unknown,PIN_AE28,,,,,,5A,B5A_N0,,,,,,,,
enet1_rx_dv,,Unknown,PIN_Y23,,,,,,5A,B5A_N0,,,,,,,,
enet1_rx_d[3],,Unknown,PIN_AE27,,,,,,5A,B5A_N0,,,,,,,,
enet1_rx_d[2],,Unknown,PIN_AB25,,,,,,5A,B5A_N0,,,,,,,,
enet1_rx_d[1],,Unknown,PIN_AA24,,,,,,5A,B5A_N0,,,,,,,,
enet1_rx_d[0],,Unknown,PIN_AB23,,,,,,5A,B5A_N0,,,,,,,,
enet1_rx_clk,,Unknown,PIN_Y24,,,,,,5A,B5A_N0,,,,,,,,
enet2_tx_en,,Unknown,PIN_W24,,,,,,5A,B5A_N0,,,,,,,,
enet2_tx_d[3],,Unknown,PIN_V23,,,,,,5A,B5A_N0,,,,,,,,
enet2_tx_d[2],,Unknown,PIN_AF28,,,,,,5A,B5A_N0,,,,,,,,
enet2_tx_d[1],,Unknown,PIN_AG28,,,,,,5A,B5A_N0,,,,,,,,
enet2_tx_d[0],,Unknown,PIN_AG27,,,,,,5A,B5A_N0,,,,,,,,
enet2_tx_clk_fb,,Unknown,PIN_AG30,,,,,,5A,B5A_N0,,,,,,,,
enet2_rx_error,,Unknown,PIN_V25,,,,,,5B,B5B_N0,,,,,,,,
enet2_rx_dv,,Unknown,PIN_AC28,,,,,,5B,B5B_N0,,,,,,,,
enet2_rx_d[3],,Unknown,PIN_AC27,,,,,,5A,B5A_N0,,,,,,,,
enet2_rx_d[2],,Unknown,PIN_AD26,,,,,,5A,B5A_N0,,,,,,,,
enet2_rx_d[1],,Unknown,PIN_AF30,,,,,,5A,B5A_N0,,,,,,,,
enet2_rx_d[0],,Unknown,PIN_AF29,,,,,,5A,B5A_N0,,,,,,,,
enet2_rx_clk,,Unknown,PIN_AH30,,,,,,5A,B5A_N0,,,,,,,,
sdi_tx_sd_hdn,,Unknown,PIN_AC29,,,,,,5B,B5B_N0,,,,,,,,
sdi_tx_en,,Unknown,PIN_AA30,,,,,,5B,B5B_N0,,,,,,,,
sdi_rx_en,,Unknown,PIN_AA28,,,,,,5B,B5B_N0,,,,,,,,
sdi_rx_bypass,,Unknown,PIN_AB28,,,,,,5B,B5B_N0,,,,,,,,
sdi_rsti,,Unknown,PIN_AB30,,,,,,5B,B5B_N0,,,,,,,,
sdi_fault,,Unknown,PIN_AD30,,,,,,5B,B5B_N0,,,,,,,,
sdi_clk148_up,,Unknown,PIN_AB12,,,,,,3A,B3A_N0,,,,,,,,
sdi_clk148_dn,,Unknown,PIN_AF6,,,,,,3A,B3A_N0,,,,,,,,
user_led_fpga[1],,Unknown,PIN_Y16,1.5 V,,,,,3B,B3B_N0,,,,,,,,
user_led_fpga[2],,Unknown,PIN_W15,1.5 V,,,,,3B,B3B_N0,,,,,,,,
user_led_fpga[3],,Unknown,PIN_AB17,1.5 V,,,,,4A,B4A_N0,,,,,,,,
ddr3_fpga_rzq,,Unknown,PIN_AG17,SSTL-15,,,,,4A,B4A_N0,,,,,,,,
pcie_perstn_in,,Unknown,PIN_W21,,,,,,5A,B5A_N0,,,,,,,,
pcie_perstn_out,,Unknown,PIN_AG6,,,,,,3A,B3A_N0,,,,,,,,
pcie_refclk_n,,Unknown,PIN_W7,LVDS,,,,pcie_refclk_p,B0L,,,,,,,,,
pcie_refclk_p,,Unknown,PIN_W8,LVDS,,,,pcie_refclk_n,B0L,,,,,,,,,
pcie_rx_n[0],,Unknown,PIN_AE1,,,,,,B0L,,,,,,,,,
pcie_rx_n[1],,Unknown,PIN_AC1,,,,,,B0L,,,,,,,,,
pcie_rx_n[2],,Unknown,PIN_AA1,,,,,,B0L,,,,,,,,,
pcie_rx_n[3],,Unknown,PIN_W1,,,,,,B1L,,,,,,,,,
pcie_rx_p[0],,Unknown,PIN_AE2,,,,,,B0L,,,,,,,,,
pcie_rx_p[1],,Unknown,PIN_AC2,,,,,,B0L,,,,,,,,,
pcie_rx_p[2],,Unknown,PIN_AA2,,,,,,B0L,,,,,,,,,
pcie_rx_p[3],,Unknown,PIN_W2,,,,,,B1L,,,,,,,,,
pcie_tx_n[0],,Unknown,PIN_AD3,,,,,,B0L,,,,,,,,,
pcie_tx_n[1],,Unknown,PIN_AB3,,,,,,B0L,,,,,,,,,
pcie_tx_n[2],,Unknown,PIN_Y3,,,,,,B0L,,,,,,,,,
pcie_tx_n[3],,Unknown,PIN_V3,,,,,,B1L,,,,,,,,,
pcie_tx_p[0],,Unknown,PIN_AD4,,,,,,B0L,,,,,,,,,
pcie_tx_p[1],,Unknown,PIN_AB4,,,,,,B0L,,,,,,,,,
pcie_tx_p[2],,Unknown,PIN_Y4,,,,,,B0L,,,,,,,,,
pcie_tx_p[3],,Unknown,PIN_V4,,,,,,B1L,,,,,,,,,
usb_b2_clk,,Unknown,PIN_AF13,1.5 V,,,,,3B,B3B_N0,,,,,,,,
usb_b2_data[0],,Unknown,PIN_AK28,,,,,,4A,B4A_N0,,,,,,,,
usb_b2_data[1],,Unknown,PIN_AD20,,,,,,4A,B4A_N0,,,,,,,,
usb_b2_data[2],,Unknown,PIN_AD21,,,,,,4A,B4A_N0,,,,,,,,
usb_b2_data[3],,Unknown,PIN_Y19,,,,,,4A,B4A_N0,,,,,,,,
usb_b2_data[4],,Unknown,PIN_AA20,,,,,,4A,B4A_N0,,,,,,,,
usb_b2_data[5],,Unknown,PIN_AH27,,,,,,4A,B4A_N0,,,,,,,,
usb_b2_data[6],,Unknown,PIN_AF25,,,,,,4A,B4A_N0,,,,,,,,
usb_b2_data[7],,Unknown,PIN_AC22,,,,,,4A,B4A_N0,,,,,,,,
cpu_resetn,,Unknown,PIN_AD27,,,,,,5A,B5A_N0,,,,,,,,
enet1_tx_error,,Unknown,PIN_AG5,,,,,,3A,B3A_N0,,,,,,,,
enet2_tx_error,,Unknown,PIN_AH5,,,,,,3A,B3A_N0,,,,,,,,
enet_dual_resetn,,Unknown,PIN_AJ1,,,,,,3A,B3A_N0,,,,,,,,
clk_148_p,,Unknown,PIN_T9,LVDS,,,,clk_148_n,B1L,,,,,,,,,
i2c_scl_fpga,,Unknown,PIN_G7,,,,,,8A,B8A_N0,,,,,,,,
i2c_sda_fpga,,Unknown,PIN_F6,,,,,,8A,B8A_N0,,,,,,,,
usb_empty,,Unknown,PIN_AJ4,,,,,,3B,B3B_N0,,,,,,,,
usb_full,,Unknown,PIN_AK3,,,,,,3B,B3B_N0,,,,,,,,
usb_oen,,Unknown,PIN_AE14,,,,,,3B,B3B_N0,,,,,,,,
usb_rdn,,Unknown,PIN_AJ5,,,,,,3B,B3B_N0,,,,,,,,
usb_resetn,,Unknown,PIN_AD14,,,,,,3B,B3B_N0,,,,,,,,
usb_scl,,Unknown,PIN_AK4,,,,,,3B,B3B_N0,,,,,,,,
usb_sda,,Unknown,PIN_AE13,,,,,,3B,B3B_N0,,,,,,,,
usb_wrn,,Unknown,PIN_AK6,,,,,,3B,B3B_N0,,,,,,,,
enet_fpga_mdc,,Unknown,PIN_H12,,,,,,8A,B8A_N0,,,,,,,,
enet_fpga_mdio,,Unknown,PIN_H13,,,,,,8A,B8A_N0,,,,,,,,
clk_148_n,,Unknown,PIN_T8,LVDS,,,,clk_148_p,B1L,,,,,,,,,
clk_enet_fpga_n,,Unknown,PIN_Y27,LVDS,,,,clk_enet_fpga_p,5B,B5B_N0,,,,,,,,
gxb_rx_l4_n,,Unknown,PIN_U1,1.5-V PCML,,,,gxb_rx_l4_p,B1L,,,,,,,,,
gxb_rx_l4_p,,Unknown,PIN_U2,1.5-V PCML,,,,gxb_rx_l4_n,B1L,,,,,,,,,
gxb_tx_l4_n,,Unknown,PIN_T3,1.5-V PCML,,,,gxb_tx_l4_p,B1L,,,,,,,,,
gxb_tx_l4_p,,Unknown,PIN_T4,1.5-V PCML,,,,gxb_tx_l4_n,B1L,,,,,,,,,
refclk_ql2_n,,Unknown,PIN_P8,LVDS,,,,refclk_ql2_p,B2L,,,,,,,,,
refclk_ql2_p,,Unknown,PIN_P9,LVDS,,,,refclk_ql2_n,B2L,,,,,,,,,
pcie_smbclk,,Unknown,PIN_AE29,,,,,,5B,B5B_N0,,,,,,,,
pcie_smbdat,,Unknown,PIN_J14,,,,,,8A,B8A_N0,,,,,,,,
pcie_waken,,Unknown,PIN_W22,,,,,,5A,B5A_N0,,,,,,,,
max_fpga_miso,,Unknown,PIN_AD25,,,,,,5A,B5A_N0,,,,,,,,
max_fpga_mosi,,Unknown,PIN_AE26,,,,,,5A,B5A_N0,,,,,,,,
max_fpga_sck,,Unknown,PIN_AJ29,,,,,,5A,B5A_N0,,,,,,,,
max_fpga_ssel,,Unknown,PIN_AC25,,,,,,5A,B5A_N0,,,,,,,,
pcie_prsnt2_x1,,Unknown,PIN_AD29,,,,,,5B,B5B_N0,,,,,,,,
pcie_prsnt2_x4,,Unknown,PIN_A11,,,,,,8A,B8A_N0,,,,,,,,
clk_25m_fpga,,Unknown,PIN_AA16,1.5 V,,,,,4A,B4A_N0,,,,,,,,
CAMERA_STROBE,,Unknown,PIN_D6,,,,,,8A,B8A_N0,,,,,,,,
GSENSOR_ALT_ADDR,,Unknown,PIN_E1,,,,,,8A,B8A_N0,,,,,,,,
GSENSOR_CS_n,,Unknown,PIN_D4,,,,,,8A,B8A_N0,,,,,,,,
GSENSOR_INT1,,Unknown,PIN_E3,,,,,,8A,B8A_N0,,,,,,,,
GSENSOR_INT2,,Unknown,PIN_E2,,,,,,8A,B8A_N0,,,,,,,,
GSENSOR_SCL_SCLK,,Unknown,PIN_D2,,,,,,8A,B8A_N0,,,,,,,,
GSENSOR_SDA_SDI_SDIO,,Unknown,PIN_D1,,,,,,8A,B8A_N0,,,,,,,,
LCD_DE,,Unknown,PIN_C3,,,,,,8A,B8A_N0,,,,,,,,
LCD_DITH,,Unknown,PIN_H8,,,,,,8A,B8A_N0,,,,,,,,
LSENSOR_ADDR_SEL,,Unknown,PIN_A6,,,,,,8A,B8A_N0,,,,,,,,
LSENSOR_INT,,Unknown,PIN_B7,,,,,,8A,B8A_N0,,,,,,,,
LSENSOR_SCL,,Unknown,PIN_A5,,,,,,8A,B8A_N0,,,,,,,,
LSENSOR_SDA,,Unknown,PIN_C7,,,,,,8A,B8A_N0,,,,,,,,
TOUCH_I2C_SCL,,Unknown,PIN_F14,,,,,,8A,B8A_N0,,,,,,,,
TOUCH_I2C_SDA,,Unknown,PIN_F15,,,,,,8A,B8A_N0,,,,,,,,
TOUCH_INT_n,,Unknown,PIN_B12,,,,,,8A,B8A_N0,,,,,,,,
user_dipsw_hps,,Unknown,,1.5 V,,,,,,,,,,,,,,
user_pb_hps,,Unknown,,1.5 V,,,,,,,,,,,,,,
usb_b2_data,,Unknown,,1.5 V,,,,,,,,,,,,,,
pcie_tx_p,,Unknown,,1.5-V PCML,,,,pcie_tx_p(n),,,,,,,,,,
pcie_tx_p(n),,Unknown,,1.5-V PCML,,,,pcie_tx_p,,,,,,,,,,
pcie_rx_p,,Unknown,,1.5-V PCML,,,,pcie_rx_p(n),,,,,,,,,,
pcie_rx_p(n),,Unknown,,1.5-V PCML,,,,pcie_rx_p,,,,,,,,,,
